Round: 1 | Move: up    | Time spent: 0.45s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 2, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 2 | Move: up    | Time spent: 0.44s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 2, 2], [0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 3 | Move: up    | Time spent: 0.64s | Reached depth: 3 | Max tile: 4 | state: [[0, 4, 2, 2], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 4 | Move: left  | Time spent: 0.72s | Reached depth: 3 | Max tile: 4 | state: [[2, 4, 2, 2], [0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 5 | Move: up    | Time spent: 0.65s | Reached depth: 3 | Max tile: 4 | state: [[2, 4, 4, 4], [0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]
Round: 6 | Move: up    | Time spent: 0.47s | Reached depth: 3 | Max tile: 4 | state: [[4, 4, 4, 4], [0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]
Round: 7 | Move: right | Time spent: 0.65s | Reached depth: 3 | Max tile: 4 | state: [[4, 4, 4, 4], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 8 | Move: right | Time spent: 0.23s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 8, 8], [0, 0, 0, 2], [0, 0, 0, 2], [0, 0, 0, 2]]
Round: 9 | Move: up    | Time spent: 0.52s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 16], [0, 0, 0, 2], [2, 0, 0, 2], [0, 0, 0, 2]]
Round: 10 | Move: right | Time spent: 0.66s | Reached depth: 3 | Max tile: 16 | state: [[2, 0, 0, 16], [0, 0, 0, 4], [0, 0, 0, 2], [0, 2, 0, 0]]
Round: 11 | Move: up    | Time spent: 0.13s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 16], [0, 0, 2, 4], [0, 0, 0, 2], [0, 0, 0, 2]]
Round: 12 | Move: right | Time spent: 1.28s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 4, 16], [0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 2, 0]]
Round: 13 | Move: left  | Time spent: 0.57s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 4, 16], [0, 0, 0, 4], [0, 4, 0, 4], [0, 0, 0, 2]]
Round: 14 | Move: up    | Time spent: 0.59s | Reached depth: 3 | Max tile: 16 | state: [[4, 16, 0, 0], [4, 2, 0, 0], [8, 0, 0, 0], [2, 0, 0, 0]]
Round: 15 | Move: left  | Time spent: 0.41s | Reached depth: 3 | Max tile: 16 | state: [[8, 16, 0, 0], [8, 2, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]
Round: 16 | Move: right | Time spent: 0.78s | Reached depth: 3 | Max tile: 16 | state: [[8, 16, 0, 2], [8, 2, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 17 | Move: down  | Time spent: 0.22s | Reached depth: 3 | Max tile: 16 | state: [[0, 8, 16, 2], [0, 0, 8, 2], [0, 2, 0, 4], [0, 0, 0, 0]]
Round: 18 | Move: up    | Time spent: 1.18s | Reached depth: 3 | Max tile: 16 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 8, 16, 4], [0, 2, 8, 4]]
Round: 19 | Move: left  | Time spent: 0.46s | Reached depth: 3 | Max tile: 16 | state: [[2, 8, 16, 8], [0, 2, 8, 0], [0, 4, 0, 0], [0, 0, 0, 0]]
Round: 20 | Move: up    | Time spent: 0.91s | Reached depth: 3 | Max tile: 16 | state: [[2, 8, 16, 8], [2, 8, 2, 0], [4, 0, 0, 0], [0, 0, 0, 0]]
Round: 21 | Move: down  | Time spent: 0.38s | Reached depth: 3 | Max tile: 16 | state: [[4, 16, 16, 8], [4, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 22 | Move: left  | Time spent: 0.45s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 16, 8], [8, 16, 2, 2]]
Round: 23 | Move: left  | Time spent: 0.23s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [2, 16, 8, 0], [8, 16, 4, 0]]
Round: 24 | Move: right | Time spent: 0.71s | Reached depth: 3 | Max tile: 16 | state: [[2, 2, 0, 0], [0, 0, 0, 0], [2, 16, 8, 0], [8, 16, 4, 0]]
Round: 25 | Move: right | Time spent: 0.09s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 4, 4], [0, 0, 0, 0], [0, 2, 16, 8], [0, 8, 16, 4]]
Round: 26 | Move: up    | Time spent: 0.17s | Reached depth: 3 | Max tile: 16 | state: [[2, 0, 0, 8], [0, 0, 0, 0], [0, 2, 16, 8], [0, 8, 16, 4]]
Round: 27 | Move: right | Time spent: 0.38s | Reached depth: 3 | Max tile: 32 | state: [[2, 2, 32, 16], [0, 8, 0, 4], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 28 | Move: right | Time spent: 0.09s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 32, 16], [0, 0, 8, 4], [0, 0, 0, 0], [2, 0, 0, 2]]
Round: 29 | Move: up    | Time spent: 0.20s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 32, 16], [0, 0, 8, 4], [0, 2, 0, 0], [0, 0, 0, 4]]
Round: 30 | Move: up    | Time spent: 0.95s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 32, 16], [0, 2, 8, 8], [0, 2, 0, 0], [0, 0, 0, 0]]
