Round: 34 | Move: left  | Time spent: 0.84s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [32, 0, 0, 2], [16, 2, 0, 0], [4, 4, 16, 4]]
Round: 35 | Move: up    | Time spent: 0.22s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [32, 2, 2, 0], [16, 2, 0, 0], [8, 16, 4, 0]]
Round: 36 | Move: up    | Time spent: 0.14s | Reached depth: 3 | Max tile: 32 | state: [[32, 4, 2, 0], [16, 16, 4, 0], [8, 0, 0, 0], [0, 0, 2, 0]]
Round: 37 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 32 | state: [[32, 4, 2, 0], [16, 16, 4, 0], [8, 0, 2, 0], [0, 0, 2, 0]]
Round: 38 | Move: up    | Time spent: 0.21s | Reached depth: 3 | Max tile: 32 | state: [[32, 4, 2, 0], [16, 16, 4, 0], [8, 0, 4, 2], [0, 0, 0, 0]]
Round: 39 | Move: left  | Time spent: 0.31s | Reached depth: 3 | Max tile: 32 | state: [[32, 4, 2, 2], [16, 16, 8, 0], [8, 2, 0, 0], [0, 0, 0, 0]]
Round: 40 | Move: left  | Time spent: 0.14s | Reached depth: 3 | Max tile: 32 | state: [[32, 4, 4, 0], [32, 8, 0, 0], [8, 2, 0, 2], [0, 0, 0, 0]]
Round: 41 | Move: left  | Time spent: 0.13s | Reached depth: 3 | Max tile: 32 | state: [[32, 8, 0, 0], [32, 8, 0, 0], [8, 4, 0, 0], [0, 2, 0, 0]]
Round: 42 | Move: up    | Time spent: 0.21s | Reached depth: 3 | Max tile: 32 | state: [[32, 8, 0, 0], [32, 8, 0, 0], [8, 4, 0, 2], [2, 0, 0, 0]]
Round: 43 | Move: right | Time spent: 1.03s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 0, 2], [8, 4, 0, 0], [2, 0, 2, 0], [0, 0, 0, 0]]
Round: 44 | Move: left  | Time spent: 0.43s | Reached depth: 3 | Max tile: 64 | state: [[0, 64, 16, 2], [0, 0, 8, 4], [2, 0, 0, 4], [0, 0, 0, 0]]
Round: 45 | Move: up    | Time spent: 0.27s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 2, 0], [8, 4, 0, 0], [2, 4, 0, 2], [0, 0, 0, 0]]
Round: 46 | Move: up    | Time spent: 0.16s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 2, 2], [8, 8, 0, 0], [2, 0, 0, 0], [2, 0, 0, 0]]
Round: 47 | Move: left  | Time spent: 0.35s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 2, 2], [8, 8, 0, 0], [4, 0, 0, 0], [0, 0, 0, 2]]
Round: 48 | Move: left  | Time spent: 0.77s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 0], [16, 0, 2, 0], [4, 0, 0, 0], [2, 0, 0, 0]]
Round: 49 | Move: left  | Time spent: 0.10s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 0], [16, 2, 0, 0], [4, 0, 0, 2], [2, 0, 0, 0]]
Round: 50 | Move: left  | Time spent: 0.16s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 0], [16, 2, 0, 0], [4, 2, 0, 2], [2, 0, 0, 0]]
Round: 51 | Move: right | Time spent: 0.31s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 2], [16, 2, 0, 0], [4, 4, 0, 0], [2, 0, 0, 0]]
Round: 52 | Move: right | Time spent: 0.19s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 2], [0, 0, 16, 2], [2, 0, 0, 8], [0, 0, 0, 2]]
Round: 53 | Move: down  | Time spent: 0.44s | Reached depth: 3 | Max tile: 64 | state: [[64, 16, 4, 2], [0, 0, 16, 2], [0, 0, 2, 8], [0, 0, 2, 2]]
Round: 54 | Move: left  | Time spent: 0.90s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [0, 0, 4, 4], [0, 0, 16, 8], [64, 16, 4, 2]]
Round: 55 | Move: up    | Time spent: 0.08s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [8, 2, 0, 0], [16, 8, 0, 0], [64, 16, 4, 2]]
Round: 56 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 64 | state: [[2, 2, 4, 2], [8, 8, 0, 0], [16, 16, 0, 0], [64, 0, 2, 0]]
Round: 57 | Move: left  | Time spent: 0.29s | Reached depth: 3 | Max tile: 64 | state: [[2, 2, 4, 2], [8, 8, 2, 0], [16, 16, 2, 0], [64, 0, 0, 0]]
Round: 58 | Move: left  | Time spent: 0.17s | Reached depth: 3 | Max tile: 64 | state: [[4, 4, 2, 2], [16, 2, 0, 0], [32, 2, 0, 0], [64, 0, 0, 0]]
Round: 59 | Move: up    | Time spent: 0.23s | Reached depth: 3 | Max tile: 64 | state: [[8, 4, 0, 0], [16, 2, 0, 0], [32, 2, 0, 0], [64, 0, 0, 4]]
Round: 60 | Move: left  | Time spent: 0.28s | Reached depth: 3 | Max tile: 64 | state: [[8, 4, 0, 4], [16, 4, 0, 2], [32, 0, 0, 0], [64, 0, 0, 0]]
Round: 61 | Move: down  | Time spent: 0.22s | Reached depth: 3 | Max tile: 64 | state: [[8, 8, 0, 0], [16, 4, 2, 0], [32, 0, 0, 0], [64, 2, 0, 0]]
Round: 62 | Move: left  | Time spent: 0.22s | Reached depth: 3 | Max tile: 64 | state: [[8, 0, 0, 0], [16, 8, 0, 0], [32, 4, 0, 0], [64, 2, 2, 2]]
Round: 63 | Move: up    | Time spent: 0.20s | Reached depth: 3 | Max tile: 64 | state: [[8, 0, 0, 2], [16, 8, 0, 0], [32, 4, 0, 0], [64, 4, 2, 0]]
Round: 64 | Move: left  | Time spent: 1.07s | Reached depth: 3 | Max tile: 64 | state: [[8, 8, 2, 2], [16, 8, 0, 0], [32, 0, 0, 0], [64, 0, 0, 2]]
Round: 65 | Move: left  | Time spent: 0.16s | Reached depth: 3 | Max tile: 64 | state: [[16, 4, 0, 0], [16, 8, 0, 0], [32, 0, 0, 0], [64, 2, 2, 0]]
Round: 66 | Move: left  | Time spent: 0.16s | Reached depth: 3 | Max tile: 64 | state: [[16, 4, 0, 0], [16, 8, 0, 0], [32, 0, 0, 0], [64, 4, 0, 2]]
Round: 67 | Move: left  | Time spent: 0.13s | Reached depth: 3 | Max tile: 64 | state: [[16, 4, 0, 0], [16, 8, 0, 0], [32, 0, 4, 0], [64, 4, 2, 0]]
Round: 68 | Move: up    | Time spent: 0.14s | Reached depth: 3 | Max tile: 64 | state: [[16, 4, 0, 0], [16, 8, 0, 0], [32, 4, 2, 0], [64, 4, 2, 0]]
Round: 69 | Move: left  | Time spent: 0.52s | Reached depth: 3 | Max tile: 64 | state: [[32, 4, 4, 2], [32, 8, 0, 0], [64, 8, 0, 0], [0, 0, 0, 0]]
Round: 70 | Move: down  | Time spent: 0.31s | Reached depth: 3 | Max tile: 64 | state: [[32, 8, 2, 0], [32, 8, 0, 0], [64, 8, 0, 0], [0, 2, 0, 0]]
Round: 71 | Move: up    | Time spent: 1.14s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 8, 0, 0], [64, 16, 0, 2], [64, 2, 2, 0]]
Round: 72 | Move: left  | Time spent: 0.32s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 2, 2], [2, 16, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0]]
Round: 73 | Move: up    | Time spent: 0.33s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 4, 0], [2, 16, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]
Round: 74 | Move: up    | Time spent: 0.26s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 4, 0], [4, 16, 0, 0], [0, 2, 0, 0], [2, 0, 0, 0]]
Round: 75 | Move: right | Time spent: 0.44s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 4, 2], [4, 16, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]
Round: 76 | Move: up    | Time spent: 0.25s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 4, 2], [0, 0, 4, 16], [0, 0, 2, 4], [0, 0, 0, 0]]
Round: 77 | Move: down  | Time spent: 1.18s | Reached depth: 3 | Max tile: 128 | state: [[128, 8, 8, 2], [0, 0, 2, 16], [0, 0, 0, 4], [0, 2, 0, 0]]
Round: 78 | Move: left  | Time spent: 0.25s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [2, 8, 8, 16], [128, 2, 2, 4]]
Round: 79 | Move: left  | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 0, 0, 0], [2, 16, 16, 0], [128, 4, 4, 0]]
Round: 80 | Move: right | Time spent: 0.40s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 0, 0, 0], [2, 32, 0, 0], [128, 8, 2, 0]]
Round: 81 | Move: down  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [0, 2, 0, 2], [0, 0, 2, 32], [0, 128, 8, 2]]
Round: 82 | Move: left  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 2, 32], [2, 128, 8, 2]]
Round: 83 | Move: right | Time spent: 1.20s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [4, 0, 2, 0], [4, 32, 0, 0], [2, 128, 8, 2]]
Round: 84 | Move: up    | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[4, 0, 0, 0], [0, 0, 4, 2], [0, 0, 4, 32], [2, 128, 8, 2]]
Round: 85 | Move: up    | Time spent: 0.44s | Reached depth: 3 | Max tile: 128 | state: [[4, 128, 8, 2], [2, 0, 8, 32], [0, 0, 0, 2], [0, 0, 0, 2]]
Round: 86 | Move: up    | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[4, 128, 16, 2], [2, 0, 0, 32], [0, 0, 0, 4], [2, 0, 0, 0]]
Round: 87 | Move: up    | Time spent: 0.26s | Reached depth: 3 | Max tile: 128 | state: [[4, 128, 16, 2], [4, 0, 0, 32], [0, 0, 0, 4], [0, 2, 0, 0]]
