Round: 1 | Move: down  | Time spent: 0.54s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 2, 0], [0, 0, 0, 0]]
Round: 2 | Move: left  | Time spent: 0.60s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 2, 0]]
Round: 3 | Move: right | Time spent: 0.52s | Reached depth: 3 | Max tile: 4 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [4, 2, 0, 0]]
Round: 4 | Move: up    | Time spent: 0.29s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 4, 2]]
Round: 5 | Move: up    | Time spent: 0.55s | Reached depth: 3 | Max tile: 4 | state: [[0, 2, 4, 4], [0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 0, 0]]
Round: 6 | Move: left  | Time spent: 0.79s | Reached depth: 3 | Max tile: 4 | state: [[2, 2, 4, 4], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 7 | Move: right | Time spent: 0.80s | Reached depth: 3 | Max tile: 8 | state: [[4, 8, 0, 0], [0, 0, 2, 0], [0, 0, 0, 0], [2, 0, 0, 0]]
Round: 8 | Move: left  | Time spent: 0.57s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 4, 8], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 9 | Move: left  | Time spent: 0.43s | Reached depth: 3 | Max tile: 8 | state: [[2, 4, 8, 0], [2, 0, 0, 0], [0, 0, 0, 0], [2, 0, 0, 2]]
Round: 10 | Move: up    | Time spent: 0.91s | Reached depth: 3 | Max tile: 8 | state: [[2, 4, 8, 0], [2, 0, 2, 0], [0, 0, 0, 0], [4, 0, 0, 0]]
Round: 11 | Move: down  | Time spent: 1.67s | Reached depth: 3 | Max tile: 8 | state: [[4, 4, 8, 0], [4, 0, 2, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 12 | Move: left  | Time spent: 1.12s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 8, 2], [8, 4, 2, 2]]
Round: 13 | Move: up    | Time spent: 0.69s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [8, 2, 0, 0], [8, 4, 4, 0]]
Round: 14 | Move: up    | Time spent: 0.37s | Reached depth: 3 | Max tile: 16 | state: [[16, 4, 4, 0], [0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 15 | Move: up    | Time spent: 0.93s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 4, 0], [0, 0, 2, 0], [0, 0, 0, 0], [0, 2, 0, 0]]
Round: 16 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 4, 0], [0, 2, 2, 0], [0, 0, 2, 0], [0, 0, 0, 0]]
Round: 17 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 4], [0, 0, 0, 4], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 18 | Move: up    | Time spent: 0.45s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 8], [0, 0, 0, 2], [0, 0, 0, 0], [2, 0, 0, 0]]
Round: 19 | Move: right | Time spent: 1.02s | Reached depth: 3 | Max tile: 16 | state: [[4, 16, 8, 8], [0, 0, 4, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 20 | Move: right | Time spent: 0.11s | Reached depth: 3 | Max tile: 16 | state: [[0, 4, 16, 16], [0, 0, 4, 2], [0, 0, 4, 0], [0, 0, 0, 0]]
Round: 21 | Move: right | Time spent: 0.22s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 4, 32], [0, 0, 4, 2], [0, 0, 0, 4], [2, 0, 0, 0]]
Round: 22 | Move: up    | Time spent: 0.18s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 4, 32], [0, 2, 4, 2], [0, 0, 0, 4], [0, 0, 0, 2]]
Round: 23 | Move: up    | Time spent: 0.28s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 8, 32], [0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 2, 2]]
Round: 24 | Move: up    | Time spent: 0.84s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 8, 32], [0, 0, 2, 2], [0, 4, 0, 4], [0, 0, 0, 2]]
Round: 25 | Move: right | Time spent: 0.42s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 8, 32], [0, 4, 2, 2], [0, 2, 0, 4], [0, 0, 0, 2]]
Round: 26 | Move: up    | Time spent: 0.17s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 8, 32], [0, 2, 4, 4], [0, 0, 2, 4], [0, 0, 0, 2]]
Round: 27 | Move: up    | Time spent: 0.16s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 8, 32], [0, 0, 4, 8], [0, 2, 2, 2], [0, 0, 0, 0]]
Round: 28 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 8, 32], [0, 2, 4, 8], [0, 0, 2, 2], [0, 0, 2, 0]]
Round: 29 | Move: right | Time spent: 0.29s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 8, 32], [0, 2, 4, 8], [0, 0, 4, 2], [0, 2, 0, 0]]
Round: 30 | Move: right | Time spent: 0.14s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 8, 32], [0, 2, 4, 8], [2, 0, 4, 2], [0, 0, 0, 2]]
Round: 31 | Move: up    | Time spent: 0.20s | Reached depth: 3 | Max tile: 32 | state: [[2, 4, 8, 32], [0, 2, 4, 8], [0, 2, 4, 2], [0, 0, 0, 2]]
Round: 32 | Move: up    | Time spent: 1.00s | Reached depth: 3 | Max tile: 32 | state: [[2, 4, 8, 32], [0, 4, 8, 8], [0, 0, 0, 4], [0, 0, 0, 2]]
Round: 33 | Move: left  | Time spent: 0.25s | Reached depth: 3 | Max tile: 32 | state: [[2, 8, 16, 32], [0, 2, 0, 8], [0, 0, 0, 4], [0, 0, 0, 2]]
Round: 34 | Move: up    | Time spent: 0.30s | Reached depth: 3 | Max tile: 32 | state: [[2, 8, 16, 32], [2, 8, 0, 0], [4, 0, 0, 4], [2, 0, 0, 0]]
Round: 35 | Move: right | Time spent: 0.35s | Reached depth: 3 | Max tile: 32 | state: [[4, 16, 16, 32], [4, 0, 0, 4], [2, 0, 0, 2], [0, 0, 0, 0]]
Round: 36 | Move: right | Time spent: 0.24s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 32, 32], [0, 0, 0, 8], [2, 0, 0, 4], [0, 0, 0, 0]]
Round: 37 | Move: down  | Time spent: 0.17s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 4, 64], [0, 0, 0, 8], [0, 0, 2, 4], [0, 0, 0, 0]]
Round: 38 | Move: right | Time spent: 1.09s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 2], [0, 0, 0, 64], [0, 0, 4, 8], [0, 2, 2, 4]]
Round: 39 | Move: left  | Time spent: 0.33s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 2], [2, 0, 0, 64], [0, 0, 4, 8], [0, 0, 4, 4]]
Round: 40 | Move: up    | Time spent: 0.58s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [2, 64, 0, 0], [4, 8, 0, 0], [8, 0, 0, 2]]
Round: 41 | Move: up    | Time spent: 0.25s | Reached depth: 3 | Max tile: 64 | state: [[4, 64, 0, 2], [4, 8, 0, 0], [8, 0, 2, 0], [0, 0, 0, 0]]
Round: 42 | Move: down  | Time spent: 0.39s | Reached depth: 3 | Max tile: 64 | state: [[8, 64, 2, 2], [8, 8, 0, 0], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 43 | Move: down  | Time spent: 1.33s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 64, 2, 0], [16, 8, 2, 4]]
Round: 44 | Move: left  | Time spent: 0.89s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [0, 64, 0, 0], [16, 8, 4, 4]]
Round: 45 | Move: left  | Time spent: 0.26s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [0, 2, 0, 0], [64, 0, 0, 0], [16, 8, 8, 0]]
Round: 46 | Move: left  | Time spent: 1.28s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [2, 0, 2, 0], [64, 0, 0, 0], [16, 16, 0, 0]]
