Round: 1 | Move: down  | Time spent: 0.41s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 0, 0]]
Round: 2 | Move: down  | Time spent: 1.75s | Reached depth: 4 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 2, 0], [0, 0, 0, 0], [0, 4, 2, 0]]
Round: 3 | Move: down  | Time spent: 0.34s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 0, 0], [0, 4, 4, 0]]
Round: 4 | Move: left  | Time spent: 0.63s | Reached depth: 3 | Max tile: 8 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 8, 4, 0]]
Round: 5 | Move: right | Time spent: 0.92s | Reached depth: 3 | Max tile: 8 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0], [8, 4, 0, 0]]
Round: 6 | Move: right | Time spent: 0.37s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 2], [0, 2, 0, 0], [0, 0, 0, 2], [0, 0, 8, 4]]
Round: 7 | Move: left  | Time spent: 0.78s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 0, 2], [0, 0, 0, 2], [0, 0, 0, 2], [0, 0, 8, 4]]
Round: 8 | Move: left  | Time spent: 0.81s | Reached depth: 3 | Max tile: 8 | state: [[4, 0, 0, 0], [2, 0, 0, 0], [2, 0, 0, 0], [8, 4, 0, 4]]
Round: 9 | Move: down  | Time spent: 0.58s | Reached depth: 3 | Max tile: 8 | state: [[4, 0, 0, 0], [2, 0, 2, 0], [2, 0, 0, 0], [8, 8, 0, 0]]
Round: 10 | Move: down  | Time spent: 0.25s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 0, 0, 2], [4, 0, 0, 0], [8, 8, 2, 0]]
Round: 11 | Move: down  | Time spent: 0.67s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [8, 0, 0, 0], [8, 8, 2, 2]]
Round: 12 | Move: up    | Time spent: 0.34s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2], [16, 8, 2, 4]]
Round: 13 | Move: right | Time spent: 0.47s | Reached depth: 3 | Max tile: 16 | state: [[16, 8, 2, 2], [2, 0, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 14 | Move: left  | Time spent: 15.89s | Reached depth: 4 | Max tile: 16 | state: [[2, 16, 8, 4], [0, 0, 2, 4], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 15 | Move: right | Time spent: 1.83s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 4], [2, 4, 0, 0], [0, 0, 0, 0], [0, 2, 0, 0]]
Round: 16 | Move: right | Time spent: 0.17s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 4], [0, 0, 2, 4], [0, 2, 0, 0], [0, 0, 0, 2]]
Round: 17 | Move: up    | Time spent: 0.25s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 4], [0, 0, 2, 4], [0, 0, 0, 2], [0, 2, 0, 2]]
Round: 18 | Move: up    | Time spent: 0.28s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 8], [0, 2, 2, 4], [0, 0, 2, 0], [0, 0, 0, 0]]
Round: 19 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 16 | state: [[2, 16, 8, 8], [0, 2, 4, 4], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 20 | Move: down  | Time spent: 0.19s | Reached depth: 3 | Max tile: 16 | state: [[0, 2, 16, 16], [0, 2, 2, 8], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 21 | Move: right | Time spent: 0.64s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 0, 16], [0, 0, 16, 8], [0, 4, 2, 2]]
Round: 22 | Move: right | Time spent: 0.24s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [2, 0, 0, 16], [0, 0, 16, 8], [0, 0, 4, 4]]
Round: 23 | Move: down  | Time spent: 0.46s | Reached depth: 3 | Max tile: 16 | state: [[0, 2, 0, 2], [0, 0, 2, 16], [0, 0, 16, 8], [0, 0, 0, 8]]
Round: 24 | Move: down  | Time spent: 0.31s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 2, 16], [2, 2, 16, 16]]
Round: 25 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 0, 2, 2], [2, 2, 16, 32]]
Round: 26 | Move: left  | Time spent: 0.51s | Reached depth: 3 | Max tile: 32 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 2], [2, 4, 16, 32]]
Round: 27 | Move: right | Time spent: 2.17s | Reached depth: 3 | Max tile: 32 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [4, 2, 0, 0], [2, 4, 16, 32]]
Round: 28 | Move: down  | Time spent: 0.37s | Reached depth: 3 | Max tile: 32 | state: [[2, 0, 0, 2], [0, 0, 0, 0], [0, 0, 4, 2], [2, 4, 16, 32]]
Round: 29 | Move: left  | Time spent: 0.38s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 4, 4], [4, 4, 16, 32]]
Round: 30 | Move: left  | Time spent: 0.41s | Reached depth: 3 | Max tile: 32 | state: [[2, 0, 2, 0], [0, 0, 0, 0], [8, 0, 0, 0], [8, 16, 32, 0]]
Round: 31 | Move: left  | Time spent: 0.43s | Reached depth: 3 | Max tile: 32 | state: [[4, 0, 2, 0], [0, 0, 0, 0], [8, 0, 0, 0], [8, 16, 32, 0]]
Round: 32 | Move: left  | Time spent: 0.25s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 0, 0], [0, 0, 0, 4], [8, 0, 0, 0], [8, 16, 32, 0]]
Round: 33 | Move: left  | Time spent: 0.21s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 0, 0], [4, 0, 0, 0], [8, 0, 0, 2], [8, 16, 32, 0]]
Round: 34 | Move: down  | Time spent: 0.37s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 0, 2], [4, 0, 0, 0], [8, 2, 0, 0], [8, 16, 32, 0]]
Round: 35 | Move: down  | Time spent: 0.20s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [8, 4, 0, 0], [16, 16, 32, 2]]
Round: 36 | Move: left  | Time spent: 0.29s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [8, 4, 0, 0], [16, 16, 32, 4]]
Round: 37 | Move: down  | Time spent: 0.25s | Reached depth: 3 | Max tile: 32 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [8, 4, 2, 0], [32, 32, 4, 0]]
Round: 38 | Move: down  | Time spent: 4.02s | Reached depth: 4 | Max tile: 32 | state: [[0, 0, 0, 0], [2, 0, 2, 0], [8, 4, 2, 0], [32, 32, 4, 0]]
Round: 39 | Move: left  | Time spent: 0.20s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [2, 0, 2, 0], [8, 4, 4, 0], [32, 32, 4, 0]]
Round: 40 | Move: left  | Time spent: 0.37s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [4, 0, 0, 0], [8, 8, 0, 0], [64, 4, 0, 0]]
Round: 41 | Move: left  | Time spent: 0.38s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 0, 0], [4, 0, 2, 0], [16, 0, 0, 0], [64, 4, 0, 0]]
Round: 42 | Move: up    | Time spent: 0.28s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 2, 0], [4, 2, 0, 0], [16, 0, 0, 0], [64, 4, 0, 0]]
Round: 43 | Move: left  | Time spent: 0.43s | Reached depth: 3 | Max tile: 64 | state: [[2, 2, 2, 0], [4, 4, 0, 2], [16, 0, 0, 0], [64, 0, 0, 0]]
Round: 44 | Move: up    | Time spent: 0.18s | Reached depth: 3 | Max tile: 64 | state: [[4, 2, 0, 0], [8, 2, 0, 0], [16, 0, 0, 0], [64, 4, 0, 0]]
Round: 45 | Move: left  | Time spent: 0.56s | Reached depth: 3 | Max tile: 64 | state: [[4, 4, 0, 0], [8, 4, 2, 0], [16, 0, 0, 0], [64, 0, 0, 0]]
Round: 46 | Move: down  | Time spent: 0.34s | Reached depth: 3 | Max tile: 64 | state: [[8, 0, 0, 0], [8, 4, 2, 0], [16, 0, 0, 0], [64, 0, 0, 2]]
Round: 47 | Move: down  | Time spent: 0.33s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [16, 0, 0, 0], [16, 2, 0, 0], [64, 4, 2, 2]]
Round: 48 | Move: up    | Time spent: 0.47s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [32, 2, 0, 0], [64, 4, 2, 2]]
