Round: 1 | Move: down  | Time spent: 0.70s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 2 | Move: right | Time spent: 0.53s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [2, 2, 2, 0]]
Round: 3 | Move: down  | Time spent: 0.22s | Reached depth: 3 | Max tile: 4 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 4]]
Round: 4 | Move: down  | Time spent: 0.18s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 2, 0], [0, 0, 0, 0], [2, 0, 2, 4]]
Round: 5 | Move: left  | Time spent: 0.47s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 0, 0], [2, 0, 4, 4]]
Round: 6 | Move: up    | Time spent: 1.09s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0], [2, 8, 0, 2]]
Round: 7 | Move: right | Time spent: 0.68s | Reached depth: 3 | Max tile: 8 | state: [[4, 8, 0, 2], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 8 | Move: down  | Time spent: 0.19s | Reached depth: 3 | Max tile: 8 | state: [[0, 4, 8, 2], [0, 2, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 9 | Move: up    | Time spent: 0.62s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 4, 0, 0], [0, 2, 8, 4]]
Round: 10 | Move: down  | Time spent: 0.44s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 8, 4], [0, 4, 0, 0], [0, 2, 2, 0], [0, 0, 0, 0]]
Round: 11 | Move: left  | Time spent: 0.58s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 2], [0, 4, 8, 0], [0, 2, 2, 4]]
Round: 12 | Move: left  | Time spent: 0.28s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [4, 0, 0, 0], [4, 8, 2, 0], [4, 4, 0, 0]]
Round: 13 | Move: down  | Time spent: 1.12s | Reached depth: 3 | Max tile: 8 | state: [[0, 2, 0, 0], [4, 0, 0, 0], [4, 8, 2, 0], [8, 0, 0, 0]]
Round: 14 | Move: down  | Time spent: 0.13s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [8, 2, 2, 0], [8, 8, 2, 0]]
Round: 15 | Move: down  | Time spent: 0.13s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [0, 2, 0, 0], [16, 8, 4, 0]]
Round: 16 | Move: right | Time spent: 0.43s | Reached depth: 3 | Max tile: 16 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [2, 2, 0, 0], [16, 8, 4, 0]]
Round: 17 | Move: down  | Time spent: 0.86s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 2, 0], [0, 0, 0, 4], [0, 16, 8, 4]]
Round: 18 | Move: down  | Time spent: 0.33s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 2, 2], [0, 16, 8, 8]]
Round: 19 | Move: right | Time spent: 0.99s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 2, 2], [2, 16, 8, 8]]
Round: 20 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 0, 2], [0, 0, 0, 4], [0, 2, 16, 16]]
Round: 21 | Move: down  | Time spent: 0.29s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 2, 4], [0, 0, 0, 4], [0, 2, 16, 16]]
Round: 22 | Move: right | Time spent: 0.83s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 0, 2, 8], [0, 2, 16, 16]]
Round: 23 | Move: right | Time spent: 0.17s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 2, 2], [0, 0, 2, 8], [0, 0, 2, 32]]
Round: 24 | Move: down  | Time spent: 0.37s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 2, 0], [0, 0, 0, 4], [0, 0, 2, 8], [0, 0, 2, 32]]
Round: 25 | Move: right | Time spent: 0.47s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 2, 8], [0, 0, 4, 32]]
Round: 26 | Move: down  | Time spent: 1.01s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 4, 8], [0, 0, 4, 32]]
Round: 27 | Move: up    | Time spent: 0.33s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 0, 8], [0, 2, 8, 32]]
Round: 28 | Move: down  | Time spent: 0.32s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 8, 2], [0, 0, 0, 4], [0, 2, 0, 8], [0, 0, 0, 32]]
Round: 29 | Move: down  | Time spent: 0.23s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 4, 0, 4], [0, 0, 0, 8], [0, 4, 8, 32]]
Round: 30 | Move: up    | Time spent: 1.07s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 0, 8], [2, 8, 8, 32]]
Round: 31 | Move: down  | Time spent: 0.42s | Reached depth: 3 | Max tile: 32 | state: [[2, 8, 8, 2], [0, 0, 0, 4], [2, 0, 0, 8], [0, 0, 0, 32]]
Round: 32 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 2], [0, 0, 0, 4], [0, 0, 0, 8], [4, 8, 8, 32]]
Round: 33 | Move: up    | Time spent: 1.03s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 4], [0, 0, 0, 4], [0, 2, 0, 8], [0, 4, 16, 32]]
Round: 34 | Move: up    | Time spent: 0.52s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 16, 8], [2, 4, 0, 8], [0, 0, 0, 32], [0, 0, 0, 0]]
Round: 35 | Move: up    | Time spent: 0.34s | Reached depth: 3 | Max tile: 32 | state: [[2, 2, 16, 16], [0, 4, 0, 32], [0, 0, 2, 0], [0, 0, 0, 0]]
Round: 36 | Move: up    | Time spent: 0.35s | Reached depth: 3 | Max tile: 32 | state: [[2, 2, 16, 16], [0, 4, 2, 32], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 37 | Move: right | Time spent: 1.24s | Reached depth: 3 | Max tile: 32 | state: [[2, 2, 16, 16], [2, 4, 4, 32], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 38 | Move: up    | Time spent: 0.16s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 4, 32], [0, 2, 8, 32], [0, 2, 0, 0], [0, 0, 0, 0]]
Round: 39 | Move: up    | Time spent: 0.39s | Reached depth: 3 | Max tile: 64 | state: [[0, 4, 4, 64], [0, 0, 8, 0], [0, 0, 0, 4], [0, 0, 0, 0]]
Round: 40 | Move: right | Time spent: 0.17s | Reached depth: 3 | Max tile: 64 | state: [[0, 4, 4, 64], [0, 2, 8, 4], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 41 | Move: up    | Time spent: 0.26s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 8, 64], [0, 2, 8, 4], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 42 | Move: up    | Time spent: 0.29s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 16, 64], [0, 2, 0, 4], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 43 | Move: up    | Time spent: 0.42s | Reached depth: 3 | Max tile: 64 | state: [[0, 4, 16, 64], [2, 0, 0, 4], [0, 0, 0, 2], [0, 0, 0, 0]]
Round: 44 | Move: right | Time spent: 1.39s | Reached depth: 3 | Max tile: 64 | state: [[2, 4, 16, 64], [0, 0, 0, 4], [0, 2, 0, 2], [0, 0, 0, 0]]
Round: 45 | Move: up    | Time spent: 0.22s | Reached depth: 3 | Max tile: 64 | state: [[2, 4, 16, 64], [4, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 0]]
