Round: 1 | Move: up    | Time spent: 0.48s | Reached depth: 3 | Max tile: 2 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0]]
Round: 2 | Move: up    | Time spent: 0.43s | Reached depth: 3 | Max tile: 4 | state: [[0, 2, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 0, 0]]
Round: 3 | Move: up    | Time spent: 0.59s | Reached depth: 3 | Max tile: 4 | state: [[4, 2, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]
Round: 4 | Move: right | Time spent: 0.59s | Reached depth: 3 | Max tile: 4 | state: [[4, 2, 2, 2], [0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 5 | Move: down  | Time spent: 0.12s | Reached depth: 3 | Max tile: 4 | state: [[2, 4, 2, 4], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 6 | Move: right | Time spent: 0.99s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 4], [2, 4, 2, 2]]
Round: 7 | Move: down  | Time spent: 0.14s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 4], [2, 2, 4, 4]]
Round: 8 | Move: right | Time spent: 0.97s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 2, 0], [2, 2, 4, 8]]
Round: 9 | Move: right | Time spent: 0.79s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 0, 4], [0, 4, 4, 8]]
Round: 10 | Move: right | Time spent: 0.35s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 2], [0, 0, 0, 4], [0, 0, 8, 8]]
Round: 11 | Move: right | Time spent: 0.55s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 0, 4], [0, 0, 0, 16]]
Round: 12 | Move: right | Time spent: 0.25s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 2, 4], [0, 0, 0, 16]]
Round: 13 | Move: right | Time spent: 1.27s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 0], [0, 0, 0, 4], [0, 0, 4, 4], [0, 0, 0, 16]]
Round: 14 | Move: up    | Time spent: 0.27s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 2], [0, 0, 2, 4], [0, 0, 0, 8], [0, 0, 0, 16]]
Round: 15 | Move: right | Time spent: 0.42s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 2, 2], [2, 0, 0, 4], [0, 0, 0, 8], [0, 0, 0, 16]]
