Round: 1 | Move: down  | Time spent: 0.55s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 2, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]
Round: 2 | Move: left  | Time spent: 0.68s | Reached depth: 3 | Max tile: 2 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, 0], [0, 2, 0, 2]]
Round: 3 | Move: down  | Time spent: 0.42s | Reached depth: 3 | Max tile: 4 | state: [[2, 0, 0, 0], [0, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]
Round: 4 | Move: down  | Time spent: 0.26s | Reached depth: 3 | Max tile: 4 | state: [[0, 0, 4, 0], [0, 0, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0]]
Round: 5 | Move: left  | Time spent: 0.23s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0], [8, 0, 4, 0]]
Round: 6 | Move: right | Time spent: 0.89s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [2, 0, 0, 0], [8, 4, 0, 0]]
Round: 7 | Move: down  | Time spent: 0.34s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 2, 2], [0, 0, 0, 2], [0, 0, 8, 4]]
Round: 8 | Move: down  | Time spent: 0.08s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 2, 4], [0, 0, 8, 4]]
Round: 9 | Move: down  | Time spent: 0.48s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [2, 0, 2, 2], [0, 0, 8, 8]]
Round: 10 | Move: right | Time spent: 0.64s | Reached depth: 3 | Max tile: 8 | state: [[0, 0, 0, 0], [0, 0, 2, 0], [0, 0, 2, 2], [2, 0, 8, 8]]
Round: 11 | Move: right | Time spent: 0.20s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [2, 0, 0, 2], [0, 0, 0, 4], [0, 0, 2, 16]]
Round: 12 | Move: right | Time spent: 0.35s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 0, 4, 4], [0, 0, 2, 16]]
Round: 13 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 0, 8], [0, 0, 2, 16]]
Round: 14 | Move: up    | Time spent: 0.22s | Reached depth: 3 | Max tile: 16 | state: [[0, 0, 0, 0], [0, 0, 0, 4], [0, 0, 2, 8], [2, 0, 2, 16]]
