Round: 34 | Move: right | Time spent: 0.60s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 4, 16], [0, 0, 16, 32], [0, 2, 2, 4], [0, 0, 0, 0]]
Round: 35 | Move: right | Time spent: 0.15s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 8, 16], [0, 0, 16, 32], [0, 0, 4, 4], [0, 0, 0, 2]]
Round: 36 | Move: right | Time spent: 0.25s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 8, 16], [0, 0, 16, 32], [0, 0, 0, 8], [2, 0, 0, 2]]
Round: 37 | Move: up    | Time spent: 0.08s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 8, 16], [0, 0, 16, 32], [0, 0, 0, 8], [0, 0, 2, 4]]
Round: 38 | Move: down  | Time spent: 0.21s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 8, 16], [2, 0, 16, 32], [0, 0, 2, 8], [0, 0, 0, 4]]
Round: 39 | Move: right | Time spent: 0.42s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 16], [0, 0, 8, 32], [0, 2, 16, 8], [2, 0, 2, 4]]
Round: 40 | Move: right | Time spent: 0.13s | Reached depth: 3 | Max tile: 32 | state: [[0, 2, 0, 16], [0, 0, 8, 32], [0, 2, 16, 8], [0, 0, 4, 4]]
Round: 41 | Move: up    | Time spent: 1.08s | Reached depth: 3 | Max tile: 32 | state: [[4, 0, 2, 16], [0, 0, 8, 32], [0, 2, 16, 8], [0, 0, 0, 8]]
Round: 42 | Move: down  | Time spent: 0.53s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 2, 16], [0, 0, 8, 32], [0, 0, 16, 16], [0, 2, 0, 0]]
Round: 43 | Move: up    | Time spent: 0.27s | Reached depth: 3 | Max tile: 32 | state: [[0, 0, 0, 0], [0, 0, 2, 16], [0, 2, 8, 32], [4, 4, 16, 16]]
Round: 44 | Move: right | Time spent: 0.34s | Reached depth: 3 | Max tile: 32 | state: [[4, 2, 2, 16], [0, 4, 8, 32], [0, 2, 16, 16], [0, 0, 0, 0]]
Round: 45 | Move: down  | Time spent: 0.28s | Reached depth: 3 | Max tile: 32 | state: [[0, 4, 4, 16], [0, 4, 8, 32], [0, 0, 2, 32], [0, 2, 0, 0]]
Round: 46 | Move: right | Time spent: 1.43s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 2, 4, 0], [0, 8, 8, 16], [0, 2, 2, 64]]
Round: 47 | Move: right | Time spent: 0.17s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 0, 2, 4], [0, 0, 16, 16], [0, 2, 4, 64]]
Round: 48 | Move: up    | Time spent: 0.19s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 2], [0, 0, 2, 4], [0, 0, 0, 32], [0, 2, 4, 64]]
Round: 49 | Move: right | Time spent: 0.53s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 2, 2], [0, 0, 4, 4], [0, 0, 4, 32], [0, 0, 0, 64]]
Round: 50 | Move: right | Time spent: 0.29s | Reached depth: 3 | Max tile: 64 | state: [[2, 0, 2, 4], [0, 0, 0, 8], [0, 0, 4, 32], [0, 0, 0, 64]]
Round: 51 | Move: down  | Time spent: 0.41s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 4, 4], [0, 0, 0, 8], [0, 0, 4, 32], [0, 0, 2, 64]]
Round: 52 | Move: down  | Time spent: 0.18s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 0, 4], [0, 0, 0, 8], [0, 0, 8, 32], [0, 0, 2, 64]]
Round: 53 | Move: right | Time spent: 1.20s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 0, 0, 8], [0, 0, 8, 32], [2, 2, 2, 64]]
Round: 54 | Move: down  | Time spent: 0.40s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 2, 0, 8], [0, 0, 8, 32], [0, 2, 4, 64]]
Round: 55 | Move: right | Time spent: 0.50s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [2, 0, 0, 8], [0, 0, 8, 32], [0, 4, 4, 64]]
Round: 56 | Move: right | Time spent: 0.13s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 0, 4], [0, 0, 2, 8], [0, 0, 8, 32], [0, 0, 8, 64]]
Round: 57 | Move: down  | Time spent: 0.25s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 2, 4], [0, 2, 2, 8], [0, 0, 8, 32], [0, 0, 8, 64]]
Round: 58 | Move: down  | Time spent: 0.29s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [2, 0, 0, 8], [0, 0, 4, 32], [0, 2, 16, 64]]
Round: 59 | Move: right | Time spent: 0.42s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 0, 0, 8], [4, 0, 4, 32], [2, 2, 16, 64]]
Round: 60 | Move: up    | Time spent: 0.31s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 0, 0, 8], [0, 0, 8, 32], [2, 4, 16, 64]]
Round: 61 | Move: down  | Time spent: 0.17s | Reached depth: 3 | Max tile: 64 | state: [[2, 4, 8, 4], [0, 0, 16, 8], [0, 0, 2, 32], [0, 0, 0, 64]]
Round: 62 | Move: right | Time spent: 1.32s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 2, 8, 8], [0, 0, 16, 32], [2, 4, 2, 64]]
Round: 63 | Move: up    | Time spent: 0.08s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 4], [0, 0, 2, 16], [0, 2, 16, 32], [2, 4, 2, 64]]
Round: 64 | Move: right | Time spent: 0.32s | Reached depth: 3 | Max tile: 64 | state: [[2, 2, 2, 4], [0, 4, 16, 16], [0, 0, 2, 32], [2, 0, 0, 64]]
Round: 65 | Move: down  | Time spent: 0.21s | Reached depth: 3 | Max tile: 64 | state: [[0, 2, 4, 4], [0, 0, 4, 32], [0, 0, 2, 32], [2, 0, 2, 64]]
Round: 66 | Move: down  | Time spent: 0.54s | Reached depth: 3 | Max tile: 64 | state: [[0, 0, 0, 0], [0, 2, 0, 4], [0, 0, 8, 64], [2, 2, 4, 64]]
Round: 67 | Move: right | Time spent: 0.61s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 8, 4], [2, 4, 4, 128]]
Round: 68 | Move: right | Time spent: 0.30s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 0], [0, 0, 0, 0], [0, 4, 8, 4], [0, 2, 8, 128]]
Round: 69 | Move: right | Time spent: 0.13s | Reached depth: 3 | Max tile: 128 | state: [[4, 0, 0, 2], [0, 0, 0, 0], [0, 4, 8, 4], [0, 2, 8, 128]]
Round: 70 | Move: right | Time spent: 0.11s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 2], [0, 0, 0, 0], [0, 4, 8, 4], [2, 2, 8, 128]]
Round: 71 | Move: down  | Time spent: 1.54s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 2], [0, 0, 0, 0], [0, 4, 8, 4], [2, 4, 8, 128]]
Round: 72 | Move: left  | Time spent: 0.59s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 2, 0, 2], [0, 0, 4, 4], [2, 8, 16, 128]]
Round: 73 | Move: right | Time spent: 0.40s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [4, 0, 0, 0], [8, 0, 0, 0], [2, 8, 16, 128]]
Round: 74 | Move: right | Time spent: 0.49s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 2], [0, 0, 0, 4], [0, 0, 0, 8], [2, 8, 16, 128]]
Round: 75 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 4], [0, 0, 0, 4], [0, 0, 0, 8], [2, 8, 16, 128]]
Round: 76 | Move: left  | Time spent: 1.79s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 4], [0, 0, 0, 4], [2, 0, 0, 8], [2, 8, 16, 128]]
Round: 77 | Move: down  | Time spent: 0.53s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 0, 0], [4, 0, 0, 2], [2, 8, 0, 0], [2, 8, 16, 128]]
Round: 78 | Move: down  | Time spent: 0.29s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 2, 0, 0], [4, 4, 0, 2], [4, 16, 16, 128]]
Round: 79 | Move: up    | Time spent: 0.31s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 2, 0, 0], [2, 4, 2, 2], [8, 16, 16, 128]]
Round: 80 | Move: down  | Time spent: 0.37s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 2, 2], [8, 4, 16, 128], [2, 16, 0, 0], [0, 0, 0, 0]]
Round: 81 | Move: right | Time spent: 1.68s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 2, 0, 0], [8, 4, 2, 2], [2, 16, 16, 128]]
Round: 82 | Move: right | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 2], [0, 0, 0, 4], [0, 8, 4, 4], [0, 2, 32, 128]]
Round: 83 | Move: down  | Time spent: 0.47s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 4], [0, 0, 2, 4], [0, 0, 8, 8], [0, 2, 32, 128]]
Round: 84 | Move: right | Time spent: 0.40s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 2, 8], [0, 2, 8, 8], [0, 2, 32, 128]]
Round: 85 | Move: up    | Time spent: 0.56s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 2, 8], [2, 0, 2, 16], [0, 2, 32, 128]]
Round: 86 | Move: right | Time spent: 0.84s | Reached depth: 3 | Max tile: 128 | state: [[2, 2, 4, 8], [0, 0, 32, 16], [2, 0, 0, 128], [0, 0, 0, 0]]
Round: 87 | Move: right | Time spent: 0.34s | Reached depth: 3 | Max tile: 128 | state: [[0, 4, 4, 8], [0, 0, 32, 16], [0, 0, 2, 128], [0, 0, 2, 0]]
Round: 88 | Move: right | Time spent: 0.20s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 8, 8], [0, 0, 32, 16], [0, 2, 2, 128], [0, 0, 0, 2]]
Round: 89 | Move: up    | Time spent: 0.13s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 16], [0, 2, 32, 16], [0, 0, 4, 128], [0, 0, 0, 2]]
Round: 90 | Move: right | Time spent: 0.57s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 32, 32], [0, 0, 4, 128], [0, 0, 0, 2], [0, 0, 0, 4]]
Round: 91 | Move: up    | Time spent: 1.64s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 4, 128], [0, 2, 0, 2], [0, 0, 0, 4]]
Round: 92 | Move: down  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 2, 64], [2, 0, 4, 128], [0, 0, 0, 2], [0, 0, 0, 4]]
Round: 93 | Move: right | Time spent: 0.48s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 0, 2, 2], [2, 2, 4, 4]]
Round: 94 | Move: right | Time spent: 0.38s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 64], [0, 0, 2, 128], [0, 0, 0, 4], [0, 0, 4, 8]]
Round: 95 | Move: down  | Time spent: 0.52s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 2, 128], [2, 0, 0, 4], [0, 0, 4, 8]]
Round: 96 | Move: down  | Time spent: 0.22s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 0, 128], [2, 0, 4, 4], [2, 0, 4, 8]]
